"RG-Datum";"Liefer-Datum";"RG-Nr.";"Steuer";"Steuerbetrag";"Gesamtbetrag";"Währung";"Kategorie";"bezahlt am";"Fällig";"Kundenummer";"Firmenname";"Anrede";"Vorname";"Nachname";"Adresse";"PLZ";"Ort";"Land";"USt-IdNr."
"09.01.2026";"08.01.2026";"RE-1452";"19%";"65,65";"411,18";"EUR";"Dienstleistung";"";"12.01.2026";"10001";"Jk-Kanzlei Rechts- Und Steuerberatung";"";"";"";"";"";"";"";""
"12.01.2026";"01.01.2026";"RE-1453";"19%";"171,00";"1.071,00";"EUR";"Dienstleistung";"";"15.01.2026";"10001";"Wab - Wach- Und Alarmbereitschaft Niederrhein GmbH";"";"";"";"";"";"";"";""
"12.01.2026";"01.01.2026";"RE-1456";"19%";"74,29";"465,27";"EUR";"Dienstleistung";"";"26.01.2026";"10001";"Mb Energy GmbH";"";"";"";"";"";"";"";""
"12.01.2026";"01.01.2026";"RE-1455";"19%";"164,23";"1.028,59";"EUR";"Dienstleistung";"";"15.01.2026";"10001";"Wohnwert Immobilien GmbH";"";"";"";"";"";"";"";""
"12.01.2026";"01.01.2026";"RE-1454";"19%";"155,90";"976,43";"EUR";"Dienstleistung";"";"26.01.2026";"10001";"Ctv Duisburg GmbH";"";"";"";"";"";"";"";""
"12.01.2026";"10.01.2026";"RE-1457";"19%";"32,87";"205,87";"EUR";"Dienstleistung";"12.01.2026";"19.01.2026";"10001";"Egit - Duisburg E.K.";"";"";"";"";"";"";"";""
"20.01.2026";"20.01.2026";"RE-1458";"19%";"24,70";"154,70";"EUR";"Dienstleistung";"";"23.01.2026";"10001";"Isomax Beteiligungsgesellschaft Mbh";"";"";"";"";"";"";"";""
"23.01.2026";"22.01.2026";"RE-1459";"19%";"23,71";"148,51";"EUR";"Dienstleistung";"";"06.02.2026";"10001";"Müller";"";"";"";"";"";"";"";""
"26.01.2026";"15.01.2026";"RE-1477";"19%";"31,90";"199,82";"EUR";"Dienstleistung";"";"29.01.2026";"10001";"Jk-Kanzlei Rechts- Und Steuerberatung";"";"";"";"";"";"";"";""
"26.01.2026";"01.01.2026";"RE-1460";"19%";"314,49";"1.969,67";"EUR";"Dienstleistung";"";"02.02.2026";"10001";"Blüggel Gmbh & Co. KG";"";"";"";"";"";"";"";""
"26.01.2026";"01.01.2026";"RE-1464";"19%";"71,25";"446,25";"EUR";"Dienstleistung";"";"29.01.2026";"10001";"Gassen Instrumente GmbH";"";"";"";"";"";"";"";""
"26.01.2026";"01.01.2026";"RE-1474";"19%";"75,72";"474,25";"EUR";"Dienstleistung";"";"29.01.2026";"10001";"Co-Gem Warenprüfungsgesellschaft Mbh";"";"";"";"";"";"";"";""
"26.01.2026";"01.01.2026";"RE-1475";"19%";"22,80";"142,80";"EUR";"Dienstleistung";"";"29.01.2026";"10001";"Peters Immo";"";"";"";"";"";"";"";""
"26.01.2026";"01.01.2026";"RE-1463";"19%";"228,00";"1.428,00";"EUR";"Dienstleistung";"03.02.2026";"02.02.2026";"10001";"Dmg Diesel-Motoren-Gesellschaft";"";"";"";"";"";"";"";""
"26.01.2026";"01.01.2026";"RE-1466";"19%";"402,19";"2.519,00";"EUR";"Dienstleistung";"30.01.2026";"29.01.2026";"10001";"Hausärztliche Gemeinschaftspraxis Am Bismarckplatz";"";"";"";"";"";"";"";""
"26.01.2026";"01.01.2026";"RE-1461";"19%";"75,74";"474,37";"EUR";"Dienstleistung";"";"29.01.2026";"10001";"Fa. Dirk Demant Heizung, Sanitär & Solar";"";"";"";"";"";"";"";""
"26.01.2026";"01.01.2026";"RE-1472";"19%";"63,38";"396,94";"EUR";"Dienstleistung";"";"29.01.2026";"10001";"Praxisgemeinschaft Für Psychologische Psychotherapie";"";"";"";"";"";"";"";""
"26.01.2026";"01.01.2026";"RE-1471";"19%";"56,17";"351,80";"EUR";"Dienstleistung";"03.02.2026";"29.01.2026";"10001";"Mbh";"";"";"";"";"";"";"";""
"26.01.2026";"01.01.2026";"RE-1469";"19%";"95,00";"595,00";"EUR";"Dienstleistung";"28.01.2026";"29.01.2026";"10001";"Malteser Hilfsdienst E.V.";"";"";"";"";"";"";"";""
"26.01.2026";"01.01.2026";"RE-1470";"19%";"160,65";"1.006,18";"EUR";"Dienstleistung";"03.02.2026";"29.01.2026";"10001";"Mbh";"";"";"";"";"";"";"";""
"26.01.2026";"01.01.2026";"RE-1473";"19%";"200,73";"1.257,23";"EUR";"Dienstleistung";"";"29.01.2026";"10001";"Schwertfeger & Kollegen GmbH";"";"";"";"";"";"";"";""
"26.01.2026";"01.01.2026";"RE-1465";"19%";"66,90";"418,98";"EUR";"Dienstleistung";"05.02.2026";"02.02.2026";"10001";"Haase Werkstoffprüfung Duisburg GmbH";"";"";"";"";"";"";"";""
